fpl_code,web_name,espn_id,espn_name,verified
60799,Enzo Fernández,285450,Enzo Fernandez,true
244851,Palmer,296395,Cole Palmer,true
131897,Salah,42677,Mohamed Salah,true
82823,De Bruyne,162859,Kevin De Bruyne,true
167488,Trent,171897,Trent Alexander-Arnold,true
178186,Saka,265983,Bukayo Saka,true
234018,Havertz,258053,Kai Havertz,true
250634,Mainoo,426004,Kobbie Mainoo,true
253297,Mbeumo,291041,Bryan Mbeumo,true
245557,Isak,303555,Alexander Isak,true
241978,Watkins,302657,Ollie Watkins,true
219230,Haaland,291295,Erling Haaland,true
237892,Rice,265985,Declan Rice,true
111457,Kane,172790,Harry Kane,true
57892,Son,228907,Heung-Min Son,true
186460,Rashford,220757,Marcus Rashford,true
72195,Sterling,214735,Raheem Sterling,true
103955,Walker,118315,Kyle Walker,true
54694,Trippier,183784,Kieran Trippier,true
161792,Shaw,197600,Luke Shaw,true
61629,Maguire,190714,Harry Maguire,true
58054,White,267997,Ben White,true
180150,Saliba,309059,William Saliba,true
244723,Timber,296372,Jurrien Timber,true
135367,Gabriel,232572,Gabriel,true
85358,Rüdiger,173824,Antonio Rudiger,true
206379,Konsa,282879,Ezri Konsa,true
217897,Pedro Porro,292003,Pedro Porro,true
246820,Matheus Nunes,299421,Matheus Nunes,true
184289,Maddison,238700,James Maddison,true
