"","gw","total_xP","actual_points","player1","player2","player3","player4","player5","player6","player7","player8","player9","player10","player11","mae","total_players"
"1",1,57.1,49,"Trent Alexander-Arnold","Dejan Kulusevski","Jarrod Bowen","Virgil van Dijk","James Maddison","Bukayo Saka","Alisson Ramses Becker","Aymeric Laporte","James Ward-Prowse","Hugo Lloris","Ivan Toney",1.43194805194805,385
"2",2,57.2,34,"Trent Alexander-Arnold","Dejan Kulusevski","Jarrod Bowen","Harry Kane","Virgil van Dijk","Alisson Ramses Becker","Philippe Coutinho Correia","James Ward-Prowse","Hugo Lloris","Ederson Santana de Moraes","Bruno Guimarães Rodriguez Moura",1.62823834196891,386
"3",3,57.3,35,"Trent Alexander-Arnold","Dejan Kulusevski","Jarrod Bowen","Virgil van Dijk","James Maddison","Bukayo Saka","Alisson Ramses Becker","Philippe Coutinho Correia","Aymeric Laporte","Hugo Lloris","Ivan Toney",1.56855670103093,388
"4",4,57.6,80,"Trent Alexander-Arnold","Dejan Kulusevski","Jarrod Bowen","Harry Kane","Andrew Robertson","Alisson Ramses Becker","Philippe Coutinho Correia","Aymeric Laporte","James Ward-Prowse","Hugo Lloris","Ederson Santana de Moraes",1.44025641025641,390
"5",5,59.6,41,"Mohamed Salah","Dejan Kulusevski","Jarrod Bowen","Andrew Robertson","James Maddison","Alisson Ramses Becker","Philippe Coutinho Correia","Aymeric Laporte","Hugo Lloris","Ederson Santana de Moraes","Emmanuel Dennis",1.32729591836735,392
"6",6,57.4,39,"Dejan Kulusevski","Jarrod Bowen","Harry Kane","Andrew Robertson","Virgil van Dijk","Bukayo Saka","Alisson Ramses Becker","Philippe Coutinho Correia","Aymeric Laporte","Hugo Lloris","Ederson Santana de Moraes",1.59113924050633,395
"7",8,55.3,52,"Dejan Kulusevski","Jarrod Bowen","Harry Kane","James Maddison","Bukayo Saka","Philippe Coutinho Correia","Aymeric Laporte","Hugo Lloris","Ederson Santana de Moraes","José Malheiro de Sá","Lukasz Fabianski",1.475,260
"8",9,58.2,48,"Trent Alexander-Arnold","Dejan Kulusevski","Jarrod Bowen","Harry Kane","Andrew Robertson","James Maddison","Alisson Ramses Becker","Philippe Coutinho Correia","Aymeric Laporte","Hugo Lloris","Ederson Santana de Moraes",1.59025,400
"9",10,59.8,67,"Mohamed Salah","Trent Alexander-Arnold","Dejan Kulusevski","Jarrod Bowen","Bukayo Saka","Alisson Ramses Becker","Aymeric Laporte","Hugo Lloris","Ederson Santana de Moraes","Bruno Guimarães Rodriguez Moura","Michail Antonio",1.42269326683292,401
"10",11,58.1,46,"Trent Alexander-Arnold","Dejan Kulusevski","Jarrod Bowen","Harry Kane","Virgil van Dijk","James Maddison","Alisson Ramses Becker","Philippe Coutinho Correia","Aymeric Laporte","Hugo Lloris","Ederson Santana de Moraes",1.53690773067332,401
"11",12,57.6,47,"Trent Alexander-Arnold","Dejan Kulusevski","Jarrod Bowen","Harry Kane","Andrew Robertson","James Maddison","Alisson Ramses Becker","Mason Mount","Hugo Lloris","Bruno Guimarães Rodriguez Moura","José Malheiro de Sá",1.64103260869565,368
"12",13,58.1,30,"Trent Alexander-Arnold","Dejan Kulusevski","Jarrod Bowen","Harry Kane","Andrew Robertson","Bukayo Saka","Alisson Ramses Becker","Philippe Coutinho Correia","Aymeric Laporte","Hugo Lloris","Ederson Santana de Moraes",1.6640897755611,401
"13",14,59.8,42,"Mohamed Salah","Trent Alexander-Arnold","Dejan Kulusevski","Jarrod Bowen","James Maddison","Alisson Ramses Becker","Aymeric Laporte","James Ward-Prowse","Ederson Santana de Moraes","José Malheiro de Sá","Michail Antonio",1.59230769230769,403
"14",15,58.1,32,"Trent Alexander-Arnold","Dejan Kulusevski","Jarrod Bowen","Harry Kane","Virgil van Dijk","Bukayo Saka","Alisson Ramses Becker","Philippe Coutinho Correia","Aymeric Laporte","James Ward-Prowse","Hugo Lloris",1.51827160493827,405
"15",16,57.8,44,"Trent Alexander-Arnold","Dejan Kulusevski","Jarrod Bowen","Harry Kane","Andrew Robertson","Alisson Ramses Becker","Mason Mount","Philippe Coutinho Correia","James Ward-Prowse","Hugo Lloris","Ederson Santana de Moraes",1.58399014778325,406
"16",17,59.6,51,"Mohamed Salah","Trent Alexander-Arnold","Dejan Kulusevski","Jarrod Bowen","Andrew Robertson","Philippe Coutinho Correia","Aymeric Laporte","James Ward-Prowse","Hugo Lloris","Michail Antonio","Aaron Ramsdale",1.52113022113022,407
"17",18,57.6,35,"Trent Alexander-Arnold","Dejan Kulusevski","Jarrod Bowen","Harry Kane","Andrew Robertson","Alisson Ramses Becker","Philippe Coutinho Correia","Aymeric Laporte","James Ward-Prowse","Hugo Lloris","Ederson Santana de Moraes",1.6171568627451,408
"18",19,58.1,52,"Trent Alexander-Arnold","Dejan Kulusevski","Jarrod Bowen","Harry Kane","Andrew Robertson","Bukayo Saka","Alisson Ramses Becker","Philippe Coutinho Correia","Aymeric Laporte","Hugo Lloris","Ederson Santana de Moraes",1.57935656836461,373
"19",20,58.4,30,"Mohamed Salah","Trent Alexander-Arnold","Jarrod Bowen","Andrew Robertson","James Maddison","Bukayo Saka","Philippe Coutinho Correia","José Malheiro de Sá","Michail Antonio","Lukasz Fabianski","Conor Coady",1.6320987654321,324
"20",21,60.4,65,"Mohamed Salah","Trent Alexander-Arnold","Dejan Kulusevski","Jarrod Bowen","James Maddison","Alisson Ramses Becker","Philippe Coutinho Correia","Aymeric Laporte","Hugo Lloris","Ederson Santana de Moraes","Michail Antonio",1.51820388349515,412
"21",22,59.5,38,"Mohamed Salah","Dejan Kulusevski","Jarrod Bowen","Andrew Robertson","James Maddison","Alisson Ramses Becker","Philippe Coutinho Correia","Aymeric Laporte","Hugo Lloris","José Malheiro de Sá","Michail Antonio",1.63242506811989,367
"22",23,59.7,48,"Mohamed Salah","Trent Alexander-Arnold","Dejan Kulusevski","Jarrod Bowen","Alisson Ramses Becker","Cristiano Ronaldo dos Santos Aveiro","Philippe Coutinho Correia","James Ward-Prowse","Hugo Lloris","José Malheiro de Sá","Lukasz Fabianski",1.33968253968254,378
"23",24,57.9,71,"Trent Alexander-Arnold","Dejan Kulusevski","Jarrod Bowen","Harry Kane","Andrew Robertson","Alisson Ramses Becker","Mason Mount","Philippe Coutinho Correia","Aymeric Laporte","James Ward-Prowse","Hugo Lloris",1.47239709443099,413
"24",25,54.6,26,"Dejan Kulusevski","Jarrod Bowen","Harry Kane","James Maddison","Mason Mount","Philippe Coutinho Correia","Aymeric Laporte","Hugo Lloris","Ederson Santana de Moraes","Lukasz Fabianski","Marcos Alonso",1.62777777777778,234
"25",26,60.4,66,"Mohamed Salah","Trent Alexander-Arnold","Dejan Kulusevski","Jarrod Bowen","James Maddison","Alisson Ramses Becker","Philippe Coutinho Correia","Aymeric Laporte","Hugo Lloris","Ederson Santana de Moraes","Michail Antonio",1.60363196125908,413
"26",27,60.4,15,"Mohamed Salah","Trent Alexander-Arnold","Dejan Kulusevski","Jarrod Bowen","James Maddison","Alisson Ramses Becker","Philippe Coutinho Correia","Aymeric Laporte","Hugo Lloris","Ederson Santana de Moraes","Michail Antonio",1.56388888888889,324
"27",28,53.3,44,"Dejan Kulusevski","Harry Kane","James Maddison","Bukayo Saka","Mason Mount","Philippe Coutinho Correia","Hugo Lloris","José Malheiro de Sá","Reece James","Aaron Ramsdale","Conor Coady",1.45394736842105,304
"28",29,53.1,41,"Dejan Kulusevski","Kevin De Bruyne","Harry Kane","Bukayo Saka","Aymeric Laporte","James Ward-Prowse","Hugo Lloris","Ederson Santana de Moraes","José Malheiro de Sá","Joachim Andersen","Emile Smith Rowe",1.50645161290323,155
"29",30,60,32,"Mohamed Salah","Trent Alexander-Arnold","Dejan Kulusevski","Jarrod Bowen","Alisson Ramses Becker","Cristiano Ronaldo dos Santos Aveiro","Mason Mount","James Ward-Prowse","Hugo Lloris","Ederson Santana de Moraes","Conor Coady",1.51452784503632,413
"30",31,57.8,36,"Trent Alexander-Arnold","Dejan Kulusevski","Jarrod Bowen","Andrew Robertson","Bukayo Saka","Alisson Ramses Becker","Cristiano Ronaldo dos Santos Aveiro","Mason Mount","Philippe Coutinho Correia","Aymeric Laporte","Hugo Lloris",1.48111380145278,413
"31",32,60,38,"Mohamed Salah","Trent Alexander-Arnold","Dejan Kulusevski","Jarrod Bowen","Harry Kane","Alisson Ramses Becker","Philippe Coutinho Correia","Hugo Lloris","Bruno Guimarães Rodriguez Moura","José Malheiro de Sá","Aaron Ramsdale",1.46738461538462,325
"32",33,58.2,35,"Trent Alexander-Arnold","Dejan Kulusevski","Jarrod Bowen","Harry Kane","Virgil van Dijk","James Maddison","Alisson Ramses Becker","Mason Mount","Aymeric Laporte","James Ward-Prowse","Hugo Lloris",1.45903614457831,415
"33",34,53.3,18,"Dejan Kulusevski","Harry Kane","James Maddison","Bukayo Saka","Mason Mount","Philippe Coutinho Correia","Hugo Lloris","José Malheiro de Sá","Reece James","Aaron Ramsdale","Conor Coady",1.42875816993464,306
