"","gw","total_xP","actual_points","player1","player2","player3","player4","player5","player6","player7","player8","player9","player10","player11","mae","total_players"
"1",1,50.4,54,"Trent Alexander-Arnold","Andrew Robertson","Erling Haaland","Ederson Santana de Moraes","Virgil van Dijk","João Cancelo","Ben Chilwell","Kai Havertz","Gabriel Martinelli Silva","Christian Pulisic","Bruno Guimarães Rodriguez Moura",1.44869109947644,573
"2",2,117,125,"Kevin De Bruyne","Gabriel Fernando de Jesus","Rodrigo Moreno","Erling Haaland","João Cancelo","Fabian Schär","José Malheiro de Sá","Pascal Groß","Gabriel Martinelli Silva","Ivan Toney","Kieran Trippier",0.932530120481928,581
"3",3,101.8,99,"Rodrigo Moreno","Kevin De Bruyne","Gabriel Fernando de Jesus","Erling Haaland","Ivan Toney","William Saliba","Ilkay Gündogan","Pascal Groß","Oleksandr Zinchenko","Dean Henderson","Ivan Perišić",1.01942567567568,592
"4",4,101.5,133,"Erling Haaland","Pascal Groß","Martin Ødegaard","Rodrigo Moreno","Luis Díaz","William Saliba","Roberto Firmino","Harry Kane","Robert Sánchez","Gabriel dos Santos Magalhães","Ivan Perišić",1.038768718802,601
"5",5,96.6,85,"Erling Haaland","Pascal Groß","Roberto Firmino","João Cancelo","Bernardo Veiga de Carvalho e Silva","Gabriel Martinelli Silva","Rodrigo Moreno","Luis Díaz","William Saliba","José Malheiro de Sá","Gabriel dos Santos Magalhães",1.01825657894737,608
"6",6,93.3,84,"Erling Haaland","Ivan Toney","Roberto Firmino","Alexis Mac Allister","Marcus Rashford","Bernardo Veiga de Carvalho e Silva","Luis Díaz","José Malheiro de Sá","João Cancelo","Ivan Perišić","Trent Alexander-Arnold",1.06987179487179,624
"7",8,89.8,81,"Erling Haaland","Harry Kane","João Cancelo","Bernardo Veiga de Carvalho e Silva","Bukayo Saka","Aleksandar Mitrović","William Saliba","Pierre-Emile Højbjerg","Nick Pope","Conor Coady","Gabriel dos Santos Magalhães",0.946363636363636,440
"8",9,135,160,"Erling Haaland","Leandro Trossard","Phil Foden","Roberto Firmino","Illan Meslier","Son Heung-min","Pierre-Emerick Aubameyang","James Maddison","Tyrone Mings","Conor Coady","Ashley Young",0.737617554858934,638
"9",10,118.3,83,"Phil Foden","Erling Haaland","Leandro Trossard","João Cancelo","Son Heung-min","Roberto Firmino","James Maddison","Ashley Young","Miguel Almirón Rejala","Illan Meslier","Tyrone Mings",0.840873634945398,641
"10",11,97.8,62,"Phil Foden","Mason Mount","Bukayo Saka","Erling Haaland","Harry Kane","Leandro Trossard","João Cancelo","Miguel Almirón Rejala","Kepa Arrizabalaga","Ashley Young","William Saliba",0.911819595645412,643
"11",12,0,3,"Luka Milivojevic","Sam Greenwood","Carlos Ribeiro Dias","Marvelous Nakamba","Nampalys Mendy","Carney Chukwuemeka","Cameron Archer","Daniel Iversen","Robert Kenedy Nunes do Nascimento","Leo Fuhr Hjelde","James Tomkins",1.39316239316239,585
"12",13,97.7,79,"Erling Haaland","Phil Foden","Alisson Ramses Becker","Miguel Almirón Rejala","Timothy Castagne","Mason Mount","Harry Kane","João Cancelo","Granit Xhaka","Roberto Firmino","Kieran Trippier",1.06743827160494,648
"13",14,87.2,82,"Miguel Almirón Rejala","Phil Foden","Alisson Ramses Becker","Erling Haaland","Kieran Trippier","João Cancelo","Gabriel Martinelli Silva","Callum Wilson","Mason Mount","Leandro Trossard","Timothy Castagne",1.05579268292683,656
"14",15,86.4,108,"Miguel Almirón Rejala","Kevin De Bruyne","Alisson Ramses Becker","Kieran Trippier","Gabriel dos Santos Magalhães","Mohamed Salah","Timothy Castagne","Crysencio Summerville","Rúben da Silva Neves","Romain Perraud","Harry Kane",0.913464447806354,661
"15",16,103.5,122,"Martin Ødegaard","Kieran Trippier","Gabriel dos Santos Magalhães","Mohamed Salah","Marcus Tavernier","Rodrigo Bentancur","Crysencio Summerville","Darwin Núñez Ribeiro","William Saliba","Harry Kane","Danny Ward",0.928335832083958,667
"16",17,152,148,"Marcus Rashford","Erling Haaland","Tim Ream","Solly March","Mohamed Salah","Joelinton Cássio Apolinário de Lira","Kai Havertz","Kieran Trippier","Martin Ødegaard","Yerry Mina","Robert Sánchez",0.315407407407407,675
"17",18,113,98,"Martin Ødegaard","Erling Haaland","Kieran Trippier","Marcus Rashford","Gabriel Martinelli Silva","Ivan Toney","Luke Shaw","Raheem Sterling","Tim Ream","Riyad Mahrez","Kepa Arrizabalaga",0.749410029498525,678
"18",19,100.7,98,"Luke Shaw","Martin Ødegaard","Marcus Rashford","Kieran Trippier","Harry Kane","Solly March","Erling Haaland","Gabriel Martinelli Silva","Riyad Mahrez","David De Gea Quintana","Trent Alexander-Arnold",0.815008156606852,613
"19",20,89.2,116,"Solly March","Kieran Trippier","Martin Ødegaard","James Ward-Prowse","Dan Burn","Nick Pope","Ivan Toney","Serge Aurier","Emiliano Buendía Stati","Gabriel Martinelli Silva","Tim Ream",0.773936170212766,564
"20",21,92.8,84,"Solly March","Kieran Trippier","Erling Haaland","Riyad Mahrez","Martin Ødegaard","Marcus Rashford","Bukayo Saka","Harry Kane","Dan Burn","David Raya Martin","Sven Botman",0.873550212164074,707
"21",22,92.2,78,"Kaoru Mitoma","Ben Mee","Brennan Johnson","Solly March","Kepa Arrizabalaga","Erling Haaland","Pervis Estupiñán","Mathias Jensen","Riyad Mahrez","Jarrod Bowen","Kieran Trippier",0.878646616541353,665
"22",23,89.1,87,"Kelechi Iheanacho","Jarrod Bowen","Ollie Watkins","Kaoru Mitoma","Marcus Rashford","Pervis Estupiñán","David Raya Martin","Harvey Barnes","Ben Mee","Tim Ream","James Maddison",0.731029411764706,680
"23",24,98.7,117,"Marcus Rashford","Kelechi Iheanacho","Ollie Watkins","James Tarkowski","Seamus Coleman","Bernd Leno","Tim Ream","Emerson Leite de Souza Junior","Pervis Estupiñán","Bruno Borges Fernandes","James Maddison",0.71313672922252,746
"24",25,79,72,"Ollie Watkins","Kelechi Iheanacho","Emerson Leite de Souza Junior","Antonee Robinson","Erling Haaland","Bernd Leno","Tim Ream","Ben Davies","Eric Dier","Jack Grealish","Declan Rice",0.93859649122807,456
"25",26,89.7,84,"Mohamed Salah","Trent Alexander-Arnold","Marcus Rashford","Virgil van Dijk","Gabriel Martinelli Silva","Bukayo Saka","Pervis Estupiñán","Manor Solomon","Ivan Toney","Emerson Leite de Souza Junior","Bernd Leno",0.921820615796519,747
"26",27,83.6,57,"Virgil van Dijk","Gabriel Martinelli Silva","Trent Alexander-Arnold","Marcus Rashford","Alisson Ramses Becker","Erling Haaland","Phil Foden","Bruno Borges Fernandes","Oleksandr Zinchenko","Ollie Watkins","Gabriel dos Santos Magalhães",0.93953488372093,602
"27",28,88.9,110,"Gabriel Martinelli Silva","Bukayo Saka","Tyrone Mings","Alexander Isak","Harry Kane","Jack Harrison","Matty Cash","Emiliano Martínez Romero","Gabriel dos Santos Magalhães","Mathias Jensen","Abdoulaye Doucouré",0.769573283858998,539
"28",29,81.5,84,"Leandro Trossard","Harry Kane","Jack Grealish","Kevin De Bruyne","Benjamin White","Gabriel dos Santos Magalhães","Julián Álvarez","Son Heung-min","Michael Keane","Harrison Reed","Jordan Pickford",0.710508474576271,295
"29",30,104.5,96,"Jack Grealish","Kevin De Bruyne","Julián Álvarez","Gabriel Martinelli Silva","Emiliano Martínez Romero","Harry Kane","Ollie Watkins","Tyrone Mings","Bukayo Saka","Kurt Zouma","Lisandro Martínez",0.745358090185676,754
"30",31,102.4,107,"Jack Grealish","Kevin De Bruyne","Eberechi Eze","Ollie Watkins","Gabriel Fernando de Jesus","Erling Haaland","Gabriel Martinelli Silva","Emiliano Martínez Romero","Marc Guéhi","Alexandre Moreno Lopera","Nélson Cabral Semedo",0.781422924901186,759
"31",32,87,72,"Gabriel Martinelli Silva","Ollie Watkins","Diogo Teixeira da Silva","Gabriel Fernando de Jesus","Eberechi Eze","Joelinton Cássio Apolinário de Lira","Martin Ødegaard","Emiliano Martínez Romero","Kurt Zouma","Marc Guéhi","Alexandre Moreno Lopera",0.78772504091653,611
"32",33,95.1,115,"Kevin De Bruyne","Erling Haaland","Jack Grealish","Joelinton Cássio Apolinário de Lira","Callum Wilson","Ollie Watkins","Eberechi Eze","Tyrone Mings","José Malheiro de Sá","Alexandre Moreno Lopera","Craig Dawson",0.780289093298292,761
"33",34,82.3,79,"Callum Wilson","Joelinton Cássio Apolinário de Lira","Martin Ødegaard","Eberechi Eze","Alexander Isak","Harry Kane","Son Heung-min","Tyrone Mings","Alexandre Moreno Lopera","Sam Johnstone","Marc Guéhi",0.764716636197441,547
"34",35,88.3,77,"Erling Haaland","Dwight McNeil","Mohamed Salah","Morgan Gibbs-White","Martin Ødegaard","Eberechi Eze","Callum Wilson","Trent Alexander-Arnold","John Stones","Diogo Dalot Teixeira","José Malheiro de Sá",0.890170380078637,763
"35",36,0,4,"Sam Greenwood","Hugo Bueno López","Cameron Archer","Josh Dasilva","Mohamed Elneny","Phil Jones","Harry Arter","Japhet Tanganga","Josh Wilson-Esbrand","Rico Lewis","Stefan Ortega Moreno",1.09537572254335,692
"36",37,86.7,41,"Mohamed Salah","Callum Wilson","Eberechi Eze","Martin Ødegaard","Harry Kane","Taiwo Awoniyi","Trent Alexander-Arnold","Dwight McNeil","Virgil van Dijk","Bernd Leno","Toti António Gomes",0.816155088852989,619
"37",38,87.5,85,"Mohamed Salah","Harry Kane","Taiwo Awoniyi","Granit Xhaka","Callum Wilson","Trent Alexander-Arnold","Martin Ødegaard","Eberechi Eze","Alisson Ramses Becker","Pedro Porro","Jakub Kiwior",0.833933161953727,778
