"gw","total_xP","actual_points","captain","squad_value","player1","player2","player3","player4","player5","player6","player7","player8","player9","player10","player11"
5,95.2,88,"Erling Haaland",998,"Erling Haaland","Pascal GroÃ","Harry Kane","Gabriel Martinelli Silva","Aleksandar MitroviÄ","Martin Ãdegaard","Luis DÃ­az","JoÃ£o Cancelo","JosÃ© Malheiro de SÃ¡","William Saliba","Kyle Walker"
6,94,108,"Erling Haaland",996,"Erling Haaland","Harry Kane","Ivan Toney","Alexis Mac Allister","Marcus Rashford","Luis DÃ­az","Bernardo Veiga de Carvalho e Silva","JosÃ© Malheiro de SÃ¡","Virgil van Dijk","Nathan Collins","Max Kilman"
8,90.3,74,"Erling Haaland",958,"Erling Haaland","Harry Kane","Bukayo Saka","Aleksandar MitroviÄ","Bernardo Veiga de Carvalho e Silva","Pierre-Emile HÃ¸jbjerg","William Saliba","John Stones","Nick Pope","Anthony Gordon","Conor Coady"
9,129.5,167,"Erling Haaland",999,"Erling Haaland","Leandro Trossard","Phil Foden","Roberto Firmino","Illan Meslier","James Maddison","Harry Kane","Jarrod Bowen","Tyrone Mings","Conor Coady","Thiago Emiliano da Silva"
10,114.8,79,"Erling Haaland",997,"Erling Haaland","Phil Foden","Leandro Trossard","James Maddison","Harry Kane","JoÃ£o Cancelo","Miguel AlmirÃ³n Rejala","Roberto Firmino","Ashley Young","Illan Meslier","Tyrone Mings"
11,96.8,62,"Erling Haaland",1000,"Erling Haaland","Bukayo Saka","Harry Kane","Mason Mount","Leandro Trossard","Phil Foden","Miguel AlmirÃ³n Rejala","Kepa Arrizabalaga","JoÃ£o Cancelo","Ashley Young","William Saliba"
12,0,3,"Luka Milivojevic",617,"Luka Milivojevic","Sam Greenwood","Carlos Ribeiro Dias","Marvelous Nakamba","Nampalys Mendy","Carney Chukwuemeka","Cameron Archer","Daniel Iversen","Robert Kenedy Nunes do Nascimento","Leo Fuhr Hjelde","James Tomkins"
13,97.4,89,"Erling Haaland",995,"Erling Haaland","Miguel AlmirÃ³n Rejala","Alisson Ramses Becker","Phil Foden","Harry Kane","Granit Xhaka","Timothy Castagne","Mason Mount","Alex Iwobi","JoÃ£o Cancelo","Kieran Trippier"
14,86.3,81,"Miguel AlmirÃ³n Rejala",989,"Miguel AlmirÃ³n Rejala","Erling Haaland","Harry Kane","Bukayo Saka","Alisson Ramses Becker","Callum Wilson","Granit Xhaka","Thomas Partey","Kieran Trippier","JoÃ£o Cancelo","Timothy Castagne"
15,83.9,100,"Kevin De Bruyne",1000,"Kevin De Bruyne","Miguel AlmirÃ³n Rejala","Mohamed Salah","Alisson Ramses Becker","Kieran Trippier","Gabriel dos Santos MagalhÃ£es","RÃºben da Silva Neves","Harry Kane","Timothy Castagne","Daniel Amartey","Romain Perraud"
