element,name,position,team,now_cost,xP
178,Welbeck,FWD,Brighton,62.0,5.73
187,Walker,DEF,Burnley,44.0,7.6
373,Virgil,DEF,Liverpool,63.0,6.47
449,B.Fernandes,MID,Man Utd,103.0,8.51
224,Cucurella,DEF,Chelsea,60.0,6.27
31,G.Jesus,FWD,Arsenal,64.0,7.1
220,Sánchez,GK,Chelsea,48.0,4.27
430,Haaland,FWD,Man City,144.0,5.73
292,Mykolenko,DEF,Everton,49.0,6.59
82,Semenyo,MID,Man City,82.0,12.04
431,Bayindir,GK,Man Utd,47.0,4.21
532,Hume,DEF,Sunderland,45.0,6.16
452,Amad,MID,Man Utd,62.0,9.37
169,Gomez,MID,Brighton,49.0,7.08
163,Hinshelwood,MID,Brighton,51.0,9.81
