element,name,position,team,xP,now_cost,raw_xP
1,Raya,GK,Arsenal,8.0,60,8.0
6,Saliba,DEF,Arsenal,12.0,61,12.0
666,Gyökeres,FWD,Arsenal,8.0,88,8.0
178,Welbeck,FWD,Brighton,7.5,62,7.5
257,Lacroix,DEF,Crystal Palace,9.0,51,9.0
261,Richards,DEF,Crystal Palace,10.0,44,10.0
723,Canvot,DEF,Crystal Palace,11.0,45,11.0
311,Beto,FWD,Everton,9.0,50,9.0
387,Szoboszlai,MID,Liverpool,7.5,71,7.5
416,Bernardo,MID,Man City,9.0,62,9.0
449,B.Fernandes,MID,Man Utd,12.0,103,12.0
450,Cunha,MID,Man Utd,7.5,80,7.5
485,Gordon,MID,Newcastle,10.5,74,10.5
502,Sels,GK,Nott'm Forest,6.5,46,6.5
508,N.Williams,DEF,Nott'm Forest,10.0,47,10.0
