element,xP,_fallback,now_cost,team,position,name,code,raw_xP
74,12.75,False,47.0,Bournemouth,DEF,Truffert,494521.0,12.75
82,17.03,False,82.0,Man City,MID,Semenyo,437730.0,17.03
97,8.96,False,67.0,Bournemouth,FWD,Evanilson,444102.0,8.96
163,21.09,False,51.0,Brighton,MID,Hinshelwood,532529.0,21.09
164,10.22,False,55.0,Brighton,MID,O'Riley,219249.0,10.22
169,13.86,False,49.0,Brighton,MID,Gomez,514254.0,13.86
215,9.04,False,53.0,Burnley,FWD,Flemming,431639.0,9.04
220,9.31,False,48.0,Chelsea,GK,Sánchez,215059.0,9.31
224,10.350000000000001,False,60.0,Chelsea,DEF,Cucurella,179268.0,10.350000000000001
232,7.61,False,40.0,Chelsea,DEF,Tosin,109646.0,7.61
416,9.7,False,62.0,Man City,MID,Bernardo,165809.0,9.7
470,5.91,False,40.0,Burnley,GK,Dúbravka,67089.0,5.91
691,9.55,False,56.0,Leeds,FWD,Calvert-Lewin,177815.0,9.55
706,6.859999999999999,False,39.0,Leeds,DEF,Justin,220627.0,6.859999999999999
713,11.55,False,45.0,Bournemouth,DEF,A.Jimenez,551483.0,11.55
