element,name,position,team,xP,now_cost
72,Asmir_Begovic_72,DEF,Bournemouth,6.0,51.0
178,Daniel_Amartey_178,FWD,Chelsea,5.5,62.0
249,Tahith_Chong_249,MID,Fulham,6.7,78.0
303,David_McGoldrick_303,DEF,Leicester,6.0,52.0
311,Kayne_Ramsay_311,DEF,Liverpool,6.7,50.0
329,Ben_Davies_329,MID,Liverpool,6.5,61.0
387,Alexandre Nascimento_Costa Silva_387,DEF,Man Utd,6.3,70.0
449,Ralf_Fahrmann_449,MID,Nott'm Forest,11.5,103.0
485,Wesley_Hoedt_485,MID,Spurs,7.5,74.0
508,Sofiane_Boufal_508,GK,Spurs,5.2,47.0
515,Kieran_Tierney_515,MID,Southampton,7.0,74.0
